,date_forecast,depression,downside,lower,mean,rateshock,sdownside,trend,upper,upside,k
19,2023-07-01,0.0032545665419128067,0.05238348983774732,0.1450685101486735,0.16486056647467473,0.05238348983774732,-0.0012977435689887074,0.12111764092561139,0.18485288773698572,0.12930083783270518,Regency - Tanglewood - Marquee - Wildwood
20,2023-10-01,0.0028495359216211824,0.0527917285510755,0.1497375201975899,0.17073417452991158,0.0527917285510755,-0.002378514465658732,0.12371680220236247,0.1914599418664269,0.1311549528841487,Regency - Tanglewood - Marquee - Wildwood
0,2018-10-01,0.18681772540820551,0.18681772540820551,0.18681772540820551,0.18681772540820551,0.18681772540820551,0.18681772540820551,0.18681772540820551,0.18681772540820551,0.18681772540820551,Sutton Place
1,2019-01-01,0.19451387475134574,0.19451387475134574,0.19184408703553557,0.19179636551766244,0.19451387475134574,0.19451387475134574,0.19451387475134574,0.1917448926066001,0.19451387475134574,Sutton Place
2,2019-04-01,0.12889708632860408,0.16873098310237422,0.2003597577811993,0.20028326522446127,0.1647005506257495,0.14108287117306673,0.18866620907520226,0.20020496590701042,0.19130104172898865,Sutton Place
3,2019-07-01,0.09015844776317339,0.16021832013655368,0.20585973632560273,0.2057705550967397,0.1513112064559068,0.10532828754819534,0.18816197803077994,0.20567148295741156,0.19352597243980707,Sutton Place
4,2019-10-01,0.055899804738601455,0.14914778868347578,0.20208764777490273,0.20197463118406533,0.1320068543720625,0.07386021297821954,0.1803546927110673,0.2018524774521353,0.18878601422257701,Sutton Place
5,2020-01-01,0.039569564036345595,0.14272486266912043,0.20117266393632538,0.20107995398296152,0.11651860094112965,0.050891047045079185,0.17526683888314087,0.20098193476906134,0.18571802459005404,Sutton Place
6,2020-04-01,0.0397103035919637,0.1399512999615551,0.20671224326700854,0.20664555800543916,0.11413789737446112,0.04351314276096252,0.17798285184821094,0.20657793167240235,0.18855312745898356,Sutton Place
7,2020-07-01,0.023251418374137023,0.12426568113443137,0.20212926003116216,0.202076901876032,0.09971929058216489,0.020907434431081562,0.16952845566662744,0.20204283316477656,0.1792882318569975,Sutton Place
8,2020-10-01,-0.009264814730043924,0.0963327772805842,0.18743899050288326,0.18740803871805456,0.07377517815820922,-0.015348914933171365,0.15075360269163873,0.18739712910551076,0.15832611808325936,Sutton Place
9,2021-01-01,-0.07190852539663106,0.04932598878711625,0.15769129547738525,0.15772287209165503,0.028522658924245103,-0.07824196452374421,0.11801834692267232,0.15778644959669985,0.12063571795556527,Sutton Place
10,2021-04-01,-0.14345733193640975,-0.028029187350788076,0.0963112288663659,0.09643877860949979,-0.04605706106604779,-0.14606110060621547,0.05846568545356434,0.0965530668174619,0.06366827457247193,Sutton Place
11,2021-07-01,-0.16210124706840856,-0.07091396203999034,0.08477498697940522,0.08500270267990451,-0.0850670820456314,-0.16321370075716402,0.0364964470775162,0.08522416239371289,0.05415330765120574,Sutton Place
12,2021-10-01,-0.18566341756740978,-0.10076441330532937,0.057259461174651305,0.05756531125511399,-0.10823458339341319,-0.1856786971612887,0.005661058334762714,0.05786059017829892,0.020914704594819478,Sutton Place
13,2022-01-01,-0.20461426128766125,-0.10796473245713356,0.03977858423710301,0.040161375877974415,-0.11046708051119658,-0.20391298503250987,-0.011350771858035347,0.040544224505740356,0.0007762380484312992,Sutton Place
14,2022-04-01,-0.16984090039130728,-0.08616635402195116,0.0338601948100965,0.03426750512173493,-0.08616635402195116,-0.16260816406722578,-0.010914529208031043,0.034682365312928454,-0.002574791120011022,Sutton Place
15,2022-07-01,-0.1380614860689643,-0.06451249207625231,0.05274749138412593,0.05322808970071513,-0.0645124920762522,-0.1302605876165842,0.0068197615324658845,0.05371123532128741,0.013260543820031723,Sutton Place
16,2022-10-01,-0.08752287451780039,-0.03270350185841164,0.0681830140975015,0.06866246374163221,-0.03270350185841164,-0.08138467475710731,0.026144559822961266,0.06915449314496103,0.030309272811070764,Sutton Place
17,2023-01-01,-0.08356600754088928,-0.020978489500252717,0.09496512178988192,0.09559685104997873,-0.020978489500252717,-0.07637141722020724,0.045993657359163054,0.09624098368357337,0.04924206245234264,Sutton Place
18,2023-04-01,-0.07100833845676291,-0.007924503360621893,0.1138016216121347,0.11455748566917245,-0.007924503360621782,-0.06417365183348067,0.06144827495894711,0.1153258363184575,0.06340359390865702,Sutton Place
19,2023-07-01,-0.04594899044252654,0.0035891856758591967,0.11079362539434778,0.11155986816701602,0.0035891856758591967,-0.04120456702700459,0.06265903053593913,0.11232576702027353,0.06307988540827836,Sutton Place
20,2023-10-01,-0.038099283968232145,0.007710679750956517,0.1135374024179503,0.11436274650859746,0.007710679750956517,-0.034297320444325874,0.06460542316086104,0.11519220932221685,0.06383774255441987,Sutton Place
0,2018-10-01,0.31022294107837767,0.31022294107837767,0.31022294107837767,0.31022294107837767,0.31022294107837767,0.31022294107837767,0.31022294107837767,0.31022294107837767,0.31022294107837767,Turks (Approx) - Miami S. Beach 5 stars
1,2019-01-01,0.3138096132845043,0.3138096132845043,0.30383985479932507,0.31397674670341513,0.3138096132845043,0.3138096132845043,0.3138096132845043,0.326677172267164,0.3138096132845043,Turks (Approx) - Miami S. Beach 5 stars
2,2019-04-01,0.2597511252468463,0.2957072238358791,0.2995799792337561,0.3155455673725669,0.2921795451639817,0.27046539100107214,0.3105106667607611,0.33233371480394824,0.3127053307266443,Turks (Approx) - Miami S. Beach 5 stars
3,2019-07-01,0.236677795011768,0.29469966616914567,0.29917229459092964,0.3214132005098749,0.2869915788818742,0.24983318747385486,0.3148337316298784,0.3429163262064505,0.31926691963992804,Turks (Approx) - Miami S. Beach 5 stars
4,2019-10-01,0.21634187277605776,0.28913214659019304,0.29429078352865456,0.31856353351972344,0.27329669853169225,0.23106770256846088,0.3107655264240543,0.3429917477914197,0.31769755403496136,Turks (Approx) - Miami S. Beach 5 stars
5,2020-01-01,0.21699442717403628,0.2931602751259583,0.2968547809846491,0.32553324095311087,0.27223661787553066,0.22735615907694773,0.3158930985726378,0.3536188775264584,0.324428269818112,Turks (Approx) - Miami S. Beach 5 stars
6,2020-04-01,0.21982581363313036,0.29373658051874196,0.2966333527791809,0.33134303327962944,0.2732217948059259,0.22591372464744475,0.32017672715538925,0.36295110679055353,0.32901357785280383,Turks (Approx) - Miami S. Beach 5 stars
7,2020-07-01,0.20790721438661075,0.2804662933501165,0.2898051334770868,0.3246974088051564,0.26131953912390027,0.2104966448022969,0.31168378853167455,0.35907134755034575,0.3198151150953623,Turks (Approx) - Miami S. Beach 5 stars
8,2020-10-01,0.18499938208018274,0.2563327302366134,0.2672145360914393,0.3078415130905561,0.23948849555778895,0.18566953740267977,0.2934943089184405,0.34583553156470437,0.2998694414097729,Turks (Approx) - Miami S. Beach 5 stars
